imdbID	title	year	rating	genre	value	revenue	original_language	popularity	vote_average	budget
tt2191701 	Grown Ups 2 	2013	PG-13 	Comedy 	$133.67M 	246984278	en 	9.56049	5.8	80000000
tt1288558 	Evil Dead 	2013	R 	"Fantasy, Horror "	$54.24M 	97542952	en 	9.004979	6.4	17000000
tt1650554 	Kick-Ass 2 	2013	R 	"Action, Comedy, Crime "	$28.80M 	60700000	en 	11.45315	6.3	28000000
tt1690953 	Despicable Me 2 	2013	PG 	"Animation, Adventure, Comedy "	$368.06M 	970761885	en 	18.055042	7	76000000
tt1321870 	Gangster Squad 	2013	R 	"Action, Crime, Drama "	$46.00M 	105200903	en 	7.03014	6.2	60000000
tt2229499 	Don Jon 	2013	R 	"Comedy, Drama, Romance "	$24.48M 	0	en 	8.793052	5.9	6000000
tt1538403 	The Mortal Instruments: City of Bones 	2013	PG-13 	"Action, Fantasy, Horror "	$31.17M 	90565421	en 	10.77511	6.2	60000000
tt2403021 	The Green Inferno 	2013	R 	"Adventure, Crime, Horror "	$7.19M 	6833445	en 	7.707924	5	5000000
tt2382009 	Nymphomaniac: Vol. II 	2013	Not Rated 	Drama 	$0.33M 	2227167	da 	8.468403	6.6	0
tt1213663 	The World's End 	2013	R 	"Action, Comedy, Sci-Fi "	$26.00M 	46089287	en 	7.994653	6.7	20000000
tt2024432 	Identity Thief 	2013	R 	"Comedy, Crime "	$134.51M 	173965010	en 	8.006136	5.7	35000000
tt1602613 	Only God Forgives 	2013	R 	"Crime, Drama "	$0.78M 	10337387	en 	7.889039	5.6	4800000
tt1333125 	Movie 43 	2013	R 	"Comedy, Romance "	$8.83M 	32438988	en 	11.357152	4.5	6000000
tt1731141 	Ender's Game 	2013	PG-13 	"Action, Fantasy, Sci-Fi "	$61.74M 	125537191	en 	9.320711	6.6	110000000
tt1321511 	Old Boy 	2013	R 	"Action, Drama, Mystery "	$2.16M 	4861022	en 	7.142	5.9	30000000
tt1572315 	Texas Chainsaw 3D 	2013	R 	"Horror, Thriller "	$34.34M 	47241945	en 	6.961467	5.3	20000000
tt1623205 	Oz the Great and Powerful 	2013	PG 	"Adventure, Family, Fantasy "	$234.91M 	491868548	en 	8.817641	5.7	200000000
tt1211956 	Escape Plan 	2013	R 	"Action, Crime, Mystery "	$25.13M 	122915111	en 	10.006122	6.7	50000000
tt1924396 	The Best Offer 	2013	R 	"Crime, Drama, Mystery "	$0.09M 	19255873	en 	9.84249	7.8	13500000
tt2334879 	White House Down 	2013	PG-13 	"Action, Drama, Thriller "	$73.10M 	205366737	en 	10.788987	6.3	150000000
tt1588173 	Warm Bodies 	2013	PG-13 	"Comedy, Horror, Romance "	$66.38M 	116980662	en 	10.18163	6.4	35000000
tt1714206 	The Spectacular Now 	2013	R 	"Comedy, Drama, Romance "	$6.85M 	6854611	en 	9.034059	6.8	2500000
tt2302755 	Olympus Has Fallen 	2013	R 	"Action, Thriller "	$98.93M 	161025640	en 	10.554604	6.2	70000000
tt2866360 	Coherence 	2013	Not Rated 	"Mystery, Sci-Fi, Thriller "	$0.07M 	102617	en 	8.706348	7.2	0
tt1980209 	Pain & Gain 	2013	R 	"Action, Comedy, Crime "	$49.88M 	86175291	en 	7.548757	6.1	25000000
tt1535109 	Captain Phillips 	2013	PG-13 	"Biography, Drama, Thriller "	$107.10M 	95000000	en 	13.204046	7.6	55000000
tt1210819 	The Lone Ranger 	2013	PG-13 	"Action, Adventure, Western "	$89.30M 	89289910	en 	16.186311	5.9	255000000
tt2193215 	The Counselor 	2013	R 	"Crime, Drama, Thriller "	$16.97M 	71009334	en 	12.85634	5	25000000
tt2692904 	Locke 	2013	R 	Drama 	$1.36M 	4635300	en 	7.12498	6.9	2000000
tt1453405 	Monsters University 	2013	G 	"Animation, Adventure, Comedy "	$268.49M 	743559607	en 	12.599503	7	200000000
tt1411250 	Riddick 	2013	R 	"Action, Sci-Fi, Thriller "	$42.03M 	98337295	en 	8.972988	6.2	38000000
