title	year	imdbID	rating	genre	value	revenue	original_language	popularity	vote_average	budget
Taxi Driver 	1976 	tt0075314 	R 	Crime, Drama 	$28.26M 	28262574 	en 	12.881486 	8.1 	1300000
Carrie 	1976 	tt0074285 	R 	Horror 	$33.80M 	33800000 	en 	7.856292 	7.0 	1800000
Rocky 	1976 	tt0075148 	PG 	Drama, Sport 	$117.24M 	117235147 	en 	14.051718 	7.5 	1000000
Logan's Run 	1976 	tt0074812 	PG 	Action, Sci-Fi 	$25.00M 	25000000 	en 	7.33802 	6.6 	9000000
The Omen 	1976 	tt0075005 	R 	Horror 	$4.27M 	60922980 	en 	11.569162 	7.2 	2800000
A Star Is Born 	1976 	tt0075265 	R 	Drama, Music, Romance 	$80.00M 	161000000 	en 	1.774026 	5.7 	6000000
The Outlaw Josey Wales 	1976 	tt0075029 	PG 	Western 	$31.80M 	31800000 	en 	6.899448 	7.4 	3700000
King Kong 	1976 	tt0074751 	PG 	Adventure, Horror 	$52.61M 	90614445 	en 	4.02484 	5.9 	23000000
All the President's Men 	1976 	tt0074119 	PG 	Biography, Drama, History 	$70.60M 	70600000 	en 	10.402087 	7.6 	8500000
Marathon Man 	1976 	tt0074860 	R 	Crime, Thriller 	$21.71M 	21709020 	en 	7.939681 	7.2 	6500000
The Bad News Bears 	1976 	tt0074174 	PG 	Comedy, Drama, Family 	$42.35M 	35323292 	en 	7.565508 	7.0 	35000000
The Tenant 	1976 	tt0074811 	R 	Drama, Thriller 	$1.92M 	0 	fr 	6.037367 	7.7 	0
Bugsy Malone 	1976 	tt0074256 	G 	Comedy, Crime, Family 	$2.78M 	0 	en 	5.802444 	6.6 	0
A Real Young Girl 	1976 	tt0135024 	Unrated 	Drama 	$0.00M 	0 	fr 	15.039771 	5.4 	0
Freaky Friday 	1976 	tt0076054 	G 	Comedy, Family, Fantasy 	$25.94M 	0 	en 	13.352312 	6.3 	0
The Man Who Fell to Earth 	1976 	tt0074851 	R 	Sci-Fi, Drama 	$0.10M 	0 	en 	5.380175 	6.4 	1500000
The Enforcer 	1976 	tt0074483 	R 	Action, Crime, Thriller 	$46.20M 	46236000 	en 	6.62298 	6.7 	9000000
The Pink Panther Strikes Again 	1976 	tt0075066 	PG 	Comedy, Crime 	$33.83M 	33833201 	en 	5.190013 	6.9 	6000000
The Last Tycoon 	1976 	tt0074777 	PG 	Drama, Romance 	$1.82M 	0 	en 	1.974979 	6.2 	0
The Missouri Breaks 	1976 	tt0074906 	PG 	Drama, Western 	$14.00M 	0 	en 	1.940677 	6.3 	0
The Shootist 	1976 	tt0075213 	PG 	Drama, Romance, Western 	$5.99M 	8091910 	en 	11.043096 	7.3 	0
Silent Movie 	1976 	tt0075222 	PG 	Comedy 	$36.15M 	0 	en 	9.715556 	6.7 	0
The Pom Pom Girls 	1976 	tt0075086 	R 	Comedy, Romance 	$17.88M 	17883410 	en 	1.593426 	5.2 	0
Sparkle 	1976 	tt0075249 	PG 	Drama, Music 	$4.00M 	0 	en 	0.562124 	5.4 	0
